,UserId,Avg_rate,RW_rate,QL_rate
0,1,3.8,4.2,4.4
1,2,4.3,4.2,4.2
2,3,3.9,3.4,4.2
3,5,4.7,4.4,4.4
4,7,3.3,3.6,3.4
5,11,3.7,4.0,4.6
6,14,3.9,3.7,3.4
7,18,3.7,4.1,4.3
8,21,3.4,4.0,3.8
9,22,3.5,3.8,3.8
10,23,2.9,3.6,3.6
11,24,3.3,2.6,3.4
12,25,3.7,3.6,3.9
13,29,3.7,3.8,4.2
14,31,3.7,4.7,4.8
15,34,4.0,4.6,4.4
16,35,4.2,3.8,4.0
17,38,3.5,3.4,3.0
18,42,4.4,4.5,4.5
19,43,3.5,3.6,3.5
20,48,3.9,4.2,4.6
21,50,4.1,4.1,4.7
22,51,3.3,3.8,4.4
23,54,3.5,3.2,3.8
24,56,3.3,3.4,3.4
25,58,4.1,3.9,4.8
26,63,4.1,4.0,4.0
27,65,4.2,4.6,4.4
28,67,3.9,4.0,4.0
29,69,3.5,3.4,4.4
30,70,2.9,2.2,4.0
31,72,4.3,4.8,4.8
32,73,3.8,3.6,4.0
33,74,4.2,4.4,4.0
34,75,4.2,4.2,4.4
35,77,3.5,3.5,4.0
36,78,2.7,2.6,2.8
37,85,4.2,4.4,4.5
38,88,2.2,2.8,2.6
39,89,3.2,3.6,3.4
40,90,3.9,3.9,4.1
41,91,3.5,3.3,4.1
42,93,3.3,3.2,3.2
43,96,3.4,3.3,3.4
44,98,4.3,4.4,4.4
45,99,4.2,4.3,4.2
46,101,3.7,4.0,4.2
47,102,3.8,3.6,3.6
48,104,2.8,3.0,2.8
49,107,4.0,4.8,3.6
50,109,3.8,3.8,3.8
51,115,3.7,3.8,3.9
52,116,2.4,2.9,3.6
53,117,3.9,4.2,4.2
54,121,4.2,4.8,4.3
55,122,4.2,4.4,4.2
56,124,3.9,3.7,4.3
57,127,4.4,4.6,4.6
58,129,3.1,3.2,2.5
59,130,3.3,3.0,3.0
60,131,2.4,3.0,3.0
61,132,3.6,3.0,4.1
62,133,3.2,3.1,3.8
63,134,3.2,3.4,4.2
64,135,3.9,4.2,4.3
65,137,3.8,4.6,4.4
66,138,3.4,3.8,3.4
67,140,4.0,4.0,4.6
68,144,3.4,2.6,3.4
69,147,3.4,3.9,4.2
70,148,3.5,3.4,4.0
71,152,3.0,1.8,3.9
72,153,4.3,4.3,4.2
73,154,3.8,4.2,4.0
74,155,3.3,3.0,3.5
75,156,3.5,3.8,4.6
76,157,3.1,2.4,3.6
77,158,3.7,3.4,4.4
78,160,3.4,3.6,3.8
79,162,3.5,3.6,3.5
80,163,3.3,4.1,4.3
81,164,4.3,4.6,4.4
82,168,4.5,4.7,4.8
83,169,4.1,4.6,4.6
84,170,3.8,3.2,3.8
85,175,3.7,3.8,3.7
86,182,3.6,3.8,3.5
87,184,3.6,4.0,4.2
88,186,3.0,3.4,3.2
89,189,4.5,4.5,4.8
90,190,4.1,3.8,4.3
91,192,3.5,3.0,2.8
92,195,2.1,2.4,2.6
93,196,3.5,4.4,3.4
94,200,3.4,3.8,4.0
95,201,4.3,4.3,3.9
96,202,3.3,3.6,3.2
97,204,4.3,4.3,4.5
98,205,3.4,3.5,3.7
